word_1,word_2,Score
space,chemistry,4.88
five,month,3.38
word,similarity,4.75
king,cabbage,0.23
tiger,carnivore,7.08
cell,phone,7.81
man,governor,5.25
architecture,century,3.78
cup,substance,1.92
glass,metal,5.56
drink,car,3.04
start,match,4.47
jaguar,car,7.27
smart,student,4.62
benchmark,index,4.25
doctor,nurse,7.0
computer,news,4.47
announcement,effort,2.75
school,center,3.44
cup,artifact,2.92
possibility,girl,1.94
psychology,psychiatry,8.08
tiger,feline,8.0
dollar,buck,9.22
hospital,infrastructure,4.63
volunteer,motto,2.56
opera,industry,2.63
noon,string,0.54
production,hike,1.75
cup,object,3.69
lobster,food,7.81
car,flight,4.94
rock,jazz,7.59
morality,marriage,3.69
month,hotel,1.81
psychology,discipline,5.58
opera,performance,6.88
shore,woodland,3.08
furnace,stove,8.79
report,gain,3.63
peace,insurance,2.94
president,medal,3.0
precedent,group,1.77
football,tennis,6.63
precedent,collection,2.5
Mars,water,2.94
mile,kilometer,8.66
fuck,sex,9.44
board,recommendation,4.47
stock,egg,1.81
precedent,example,5.85
dividend,payment,7.63
focus,life,4.06
chord,smile,0.54
development,issue,3.97
line,insurance,2.69
smart,stupid,5.81
bird,crane,7.38
Mexico,Brazil,7.44
stock,life,0.92
calculation,computation,8.44
practice,institution,3.19
Wednesday,news,2.22
man,woman,8.3
midday,noon,9.29
situation,conclusion,4.81
tiger,cat,7.35
seven,series,3.56
announcement,news,7.56
magician,wizard,9.02
tiger,tiger,10.0
stock,phone,1.62
bishop,rabbi,6.69
football,basketball,6.81
physics,chemistry,7.35
murder,manslaughter,8.53
listing,proximity,2.56
minority,peace,3.69
life,term,4.5
psychology,science,6.71
coast,hill,4.38
coast,forest,3.15
bird,cock,7.1
boy,lad,8.83
cup,entity,2.15
announcement,production,3.38
planet,star,8.45
Japanese,American,6.5
professor,cucumber,0.31
food,rooster,4.42
tiger,jaguar,8.0
stock,CD,1.31
seafood,lobster,8.7
investigation,effort,4.59
tiger,mammal,6.85
food,fruit,7.52
media,trading,3.88
cucumber,potato,5.92
tiger,animal,7.0
century,nation,3.16
gem,jewel,8.96
media,gain,2.88
start,year,4.06
population,development,3.75
street,place,6.44
football,soccer,9.03
precedent,antecedent,6.04
consumer,energy,4.75
chance,credibility,3.88
life,death,7.88
planet,moon,8.08
image,surface,4.56
prejudice,recognition,3.0
plane,car,5.77
problem,airport,2.38
asylum,madhouse,8.87
holy,sex,1.62
street,children,4.94
lobster,wine,5.7
journey,voyage,9.29
wood,forest,7.73
direction,combination,2.25
forest,graveyard,1.85
money,currency,9.04
cup,article,2.4
championship,tournament,8.36
stock,jaguar,0.92
king,rook,5.92
monk,slave,0.92
seafood,food,8.34
precedent,information,3.85
peace,atmosphere,3.69
sign,recess,2.38
theater,history,3.91
journal,association,4.97
monk,oracle,5.0
drink,ear,1.31
rooster,voyage,0.62
type,kind,8.97
money,dollar,8.42
lad,wizard,0.92
jaguar,cat,7.42
professor,doctor,6.62
tiger,fauna,5.62
phone,equipment,7.13
train,car,6.31
street,avenue,8.88
observation,architecture,4.38
ministry,culture,4.69
peace,plan,4.75
